id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Old Dirt Road,The Hollow Pines,country,nostalgic,0.55,96,0.44,0.52,0.62
12,Iron Cathedral,Static Saint,metal,intense,0.89,168,0.22,0.38,0.08
13,Paper Boats,Lena Grey,folk,melancholic,0.33,88,0.38,0.45,0.76
14,Neon Basement,DJ Parcel,house,euphoric,0.86,124,0.88,0.91,0.12
15,Riverbend Sonata,Elias Noir,classical,peaceful,0.18,66,0.52,0.28,0.94
16,Corner Cipher,MIRA & Keys,hip-hop,confident,0.72,95,0.66,0.70,0.15
17,Slow Heat Blues,Marlow & Co,blues,soulful,0.48,82,0.41,0.55,0.68
18,Island Time,Kai & The Tide,reggae,relaxed,0.46,88,0.72,0.68,0.55
19,Violet Hours,Northern Glow,r&b,romantic,0.41,74,0.63,0.58,0.42
20,Crimson Echo,June Theory,pop,happy,0.18,74,0.76,0.69,0.10
21,Silver Canvas,Signal Choir,lofi,relaxed,0.49,119,0.71,0.59,0.75
22,Golden Waves,Echo Harbor,rock,nostalgic,0.84,168,0.45,0.47,0.26
23,Velvet Mirage,Fable District,ambient,peaceful,0.39,105,0.66,0.32,0.68
24,Neon Rhythm,June Theory,jazz,romantic,0.64,141,0.65,0.64,0.66
25,Midnight Orbit,Signal Choir,synthwave,energetic,0.80,157,0.70,0.81,0.13
26,Solar Parade,Echo Harbor,indie pop,intense,0.38,106,0.50,0.43,0.34
27,Lunar Engine,Fable District,country,nostalgic,0.54,122,0.49,0.55,0.48
28,Electric Circuit,June Theory,metal,peaceful,0.76,155,0.53,0.40,0.06
29,Amber Skyline,Signal Choir,folk,romantic,0.37,99,0.69,0.53,0.82
30,Ivory Echo,Echo Harbor,house,energetic,0.44,112,0.74,0.89,0.08
31,Obsidian Canvas,Fable District,classical,intense,0.72,153,0.37,0.51,0.95
32,Wild Waves,June Theory,hip-hop,moody,0.36,101,0.50,0.47,0.08
33,Quiet Mirage,Signal Choir,blues,euphoric,0.59,135,0.89,0.98,0.66
34,Rapid Rhythm,Echo Harbor,reggae,romantic,0.90,170,0.56,0.61,0.36
35,Coastal Orbit,Fable District,r&b,energetic,0.35,102,0.78,0.78,0.28
36,Desert Parade,June Theory,edm,intense,0.49,116,0.41,0.59,0.17
37,Urban Engine,Signal Choir,latin,moody,0.86,168,0.37,0.55,0.30
38,Arctic Circuit,Echo Harbor,afrobeats,euphoric,0.34,95,0.93,0.87,0.27
39,Tidal Skyline,Fable District,punk,soulful,0.64,138,0.50,0.47,0.04
40,Crimson Echo,June Theory,soul,dreamy,0.82,166,0.65,0.51,0.44
41,Silver Canvas,Signal Choir,dnb,intense,0.33,97,0.45,0.48,0.00
42,Golden Waves,Echo Harbor,pop,moody,0.54,128,0.41,0.44,0.19
43,Velvet Mirage,Fable District,lofi,euphoric,0.78,154,0.97,0.95,0.84
44,Neon Rhythm,June Theory,rock,soulful,0.32,99,0.54,0.55,0.14
45,Midnight Orbit,Signal Choir,ambient,dreamy,0.44,109,0.52,0.40,0.77
46,Solar Parade,Echo Harbor,jazz,chill,0.74,152,0.68,0.64,0.54
47,Lunar Engine,Fable District,synthwave,focused,0.31,91,0.55,0.57,0.22
48,Electric Circuit,June Theory,indie pop,euphoric,0.59,132,0.84,0.84,0.22
49,Amber Skyline,Signal Choir,country,soulful,0.92,179,0.58,0.63,0.57
50,Ivory Echo,Echo Harbor,metal,dreamy,0.30,93,0.56,0.48,0.15
51,Obsidian Canvas,Fable District,folk,chill,0.49,122,0.55,0.53,0.70
52,Wild Waves,June Theory,house,focused,0.88,167,0.59,0.65,0.17
53,Quiet Mirage,Signal Choir,classical,melancholic,0.29,95,0.33,0.45,0.83
54,Rapid Rhythm,Echo Harbor,hip-hop,confident,0.64,135,0.61,0.68,0.17
55,Coastal Orbit,Fable District,blues,dreamy,0.84,165,0.60,0.56,0.54
56,Desert Parade,June Theory,reggae,chill,0.28,87,0.59,0.61,0.45
57,Urban Engine,Signal Choir,r&b,focused,0.54,125,0.63,0.54,0.37
58,Arctic Circuit,Echo Harbor,edm,melancholic,0.80,163,0.37,0.34,0.05
59,Tidal Skyline,Fable District,latin,confident,0.27,89,0.65,0.76,0.39
60,Crimson Echo,June Theory,afrobeats,uplifting,0.44,115,0.86,0.74,0.15
61,Silver Canvas,Signal Choir,punk,happy,0.76,152,0.85,0.70,0.13
62,Golden Waves,Echo Harbor,soul,focused,0.26,91,0.50,0.62,0.32
63,Velvet Mirage,Fable District,dnb,melancholic,0.59,129,0.41,0.42,0.07
64,Neon Rhythm,June Theory,pop,confident,0.72,150,0.69,0.65,0.28
65,Midnight Orbit,Signal Choir,lofi,uplifting,0.25,84,0.73,0.82,0.72
66,Solar Parade,Echo Harbor,rock,happy,0.49,119,0.89,0.78,0.23
67,Lunar Engine,Fable District,ambient,relaxed,0.90,176,0.67,0.49,0.65
68,Electric Circuit,June Theory,jazz,nostalgic,0.24,85,0.41,0.56,0.63
69,Amber Skyline,Signal Choir,synthwave,confident,0.64,141,0.73,0.73,0.10
70,Ivory Echo,Echo Harbor,indie pop,uplifting,0.86,165,0.77,0.71,0.31
71,Obsidian Canvas,Fable District,country,happy,0.23,87,0.76,0.86,0.66
72,Wild Waves,June Theory,metal,relaxed,0.54,122,0.71,0.57,0.03
73,Quiet Mirage,Signal Choir,folk,nostalgic,0.82,163,0.45,0.45,0.79
74,Rapid Rhythm,Echo Harbor,house,peaceful,0.22,80,0.66,0.49,0.05
